"","YEAR","HHL","hhlLab","LNGI","RESMODE","resmodeLab","sampModeN","popModeN","sampN","popN","sampProp","popProp","lngiLab"
"82",2012,"4","Asian / Pacific Islander","1","2","CATI/CAPI",6252,1027515,28137,2843340,0.222198528627785,0.361376057734917,"English Proficient"
"83",2012,"4","Asian / Pacific Islander","2","1","Mail",7659,621929,10352,1029415,0.739857032457496,0.604157701218653,"Limited English"
"84",2012,"4","Asian / Pacific Islander","2","2","CATI/CAPI",2693,407486,10352,1029415,0.260142967542504,0.395842298781347,"Limited English"
"85",2013,"1","English","1","1","Mail",333805,25181592,988924,92442186,0.337543633282234,0.272403683746726,"English Proficient"
"86",2013,"1","English","1","2","CATI/CAPI",250761,36102769,988924,92442186,0.25356953618276,0.390544301927261,"English Proficient"
"87",2013,"1","English","1","3","Internet",404358,31157825,988924,92442186,0.408886830535006,0.337052014326013,"English Proficient"
"88",2013,"2","Spanish","1","1","Mail",25907,1974475,94182,10489487,0.275073793293835,0.188233704851343,"English Proficient"
"89",2013,"2","Spanish","1","2","CATI/CAPI",39413,6271674,94182,10489487,0.41847699135716,0.597900926899476,"English Proficient"
"90",2013,"2","Spanish","1","3","Internet",28862,2243338,94182,10489487,0.306449215349005,0.213865368249181,"English Proficient"
"91",2013,"2","Spanish","2","1","Mail",5698,427065,25459,3145911,0.223810833104207,0.135752410033215,"Limited English"
"92",2013,"2","Spanish","2","2","CATI/CAPI",16423,2461512,25459,3145911,0.64507639734475,0.78244807307009,"Limited English"
"93",2013,"2","Spanish","2","3","Internet",3338,257334,25459,3145911,0.131112769551043,0.0817995168966954,"Limited English"
"94",2013,"3","Indo European","1","1","Mail",14748,1166193,43813,4297807,0.336612420970945,0.271346060909669,"English Proficient"
"95",2013,"3","Indo European","1","2","CATI/CAPI",10272,1609574,43813,4297807,0.234450962043229,0.374510535256702,"English Proficient"
